example_id,length_bucket,source_de,reference_en,pred_none,pred_absolute,pred_sinusoidal,pred_learned,pred_gated_mix
1,medium,"ich fürchte, dass uns diese art von treffen nicht weiterbringt.",i'm afraid this kind of meeting isn't getting us anywhere.,i'm afraid that we didn't help us by us.,i'm afraid that i'm afraid that we won't be able to do that by us.,i'm afraid that i didn't think that this kind of thing about us.,i'm afraid that you didn't help us again.,i'm afraid that i'm afraid of us.
2,short,dasselbe gilt für mich.,the same goes for me.,i felt sorry for me.,he thought that kind of me.,i thought that there was a lot.,that is a true for me.,i felt no one for me.
3,short,"ich vermute, dass du recht hast.",i suppose you're right.,i promise you that you are right.,i suppose you want me to be right.,i suppose you were right.,i guess you're right.,i suppose you won't be right.
4,short,ich fing keinen einzigen fisch.,i didn't catch one single fish.,i don't remember fish.,i don't remember anything.,i don't remember the fish.,i didn't see any fish.,i didn't get any fish.
5,short,"schön, dich zu sehen!",nice to see you.,don't ask you to see me.,have you invited to you?,have you been watching television.,good to see you.,wait too much.
6,medium,ich muss dir etwas wichtiges mitteilen.,i have something important to tell you.,i have to show you something wrong way.,i have to tell you something wrong way.,i have to tell you something cold.,i have to tell you something.,i have to tell you something wrong.
7,medium,tom zog seine schuhe und seine socken aus.,tom took his shoes and socks off.,tom put his shoes on.,tom put his shoes and put on his shoes.,tom pulled his shoes and put on his shoes.,tom took off his shoes and took out of his shoes.,tom put his shoes on his shoes and put on their shoes.
8,medium,"ich fliege wahrscheinlich raus, wenn ich das tue.",i'll probably get fired if i do that.,i probably think that if i should do it.,if i probably will. i probably will.,if i don't think i should do that by myself.,i probably know when i was going to do that if i was going to do that.,if i probably don't think i should do that.
9,short,tom kennt sich wirklich aus.,tom really knows his stuff.,tom really knows himself.,tom really knows anything.,tom really knows why.,tom really knows himself.,tom really knows himself.
10,long,"tom bewegte sich so leise, wie er nur konnte, im haus umher, um maria und die kinder nicht zu wecken.",tom moved about the house as quietly as he could so as not to wake mary and the children.,tom and mary didn't want to get to sit down the kids on the kids as he was as he was as he was as he was as he,tom and mary both have the children just because he didn't get to the kids at the children.,tom and mary both have the children just started to get to sit in the kids as he didn't get to the house.,tom and mary couldn't have left the same house as he just as the house that he just as the house he just as mary does.,tom and mary both have the children are just at the same age of the same age as he didn't see mary.
