example_id,length_bucket,source_de,reference_en,pred_none,pred_absolute,pred_sinusoidal,pred_learned,pred_gated_mix
1,medium,ich stimme tom hundertprozentig zu.,i agree with tom a hundred percent.,i agree with tom a hundred per cake.,i agree with tom a hundred per father.,i agree with tom agree on his phone.,i agree with tom a hundred times.,i agree with tom a hundred times.
2,short,haben sie gestern abend angerufen?,did you call last night?,did you call last night?,did you phone last night?,did you call last night?,did you call last night?,did you call last night?
3,medium,ich las das <unk> das man mir gab.,i read the flyer that was handed to me.,i read the book that i read it.,i read the knife i read it.,i was reading that was read the last one.,i read the book you gave me to the car.,i read the poem to my mind.
4,short,hast du morgen auch frei?,"are you free tomorrow, too?","do you have any seat tomorrow, too.",are you free tomorrow morning?,are you free tomorrow as well?,did you go jogging tomorrow?,are you free tomorrow as well?
5,short,tom hat eine e-mail von maria bekommen.,tom got an email from mary.,tom got a email from mary.,tom got a email email email from mary.,tom received an email from mary.,tom got a message from mary.,tom got a email from mary.
6,short,große macht birgt große verantwortung.,with great power comes great responsibility.,big big deal is really good.,big large large large large large lot of baseball.,big mouth.,big having broken big mouth.,big big mouth.
7,short,ich habe nicht gearbeitet.,i wasn't working.,i didn't work at all.,i didn't work on it.,i didn't work at all.,i didn't work up.,i didn't worked
8,medium,"<unk> deine haare, bevor du ausgehst.",comb your hair before you go out.,before you go jogging before your clothes before you go away.,do you go to your front before sitting before going to the end of your summer vacation?,brush your hair before you go out.,brush your teeth before you go out.,boil your teeth before you go away.
9,short,warum brauchen sie mich?,why do they want me?,why do you need me?,why do you need me?,why do you need me?,why do you need me?,why do you need me?
10,medium,tom versteckte sein geld unter seiner matratze.,tom hid his money under his mattress.,tom hid his money under his trip in the family.,tom hid his money under his parents.,tom hid his money under his trip in his clothes.,tom hid his money under his spend under the room.,tom hid his money under his clothes.
