example_id,length_bucket,source_de,reference_en,pred_none,pred_absolute,pred_sinusoidal,pred_learned,pred_gated_mix,note
1,medium,wie werden leute wie du zu leuten wie dir?,how do people like you get to be people like you?,how long do you have to do you have to do you want to do you want to do,how long do you have to do you have to do that.,how long do you have to do you have to do that.,how many how long you to be able to be able to be able to be able to be,how many long do you have to do you have to do that.,Aligned by index; same test set & seed=42 across PE types
2,short,wo kann ich sie finden?,where can i find you?,i can't do you can do that.,i can't do you can't do that.,i can't do you can do that.,where can you know why i can help you.,i can't do you think i can do that.,Aligned by index; same test set & seed=42 across PE types
3,short,du bist noch lange nicht fertig.,you're far from being finished.,you don't have to be able to be here.,you don't have to be here.,you don't have to be able to be here.,you don't have to be able to be able to be able to be able to do.,you don't have to be here.,Aligned by index; same test set & seed=42 across PE types
4,medium,der erdradius misst ca. 6000 km.,"the earth's radius is about 6,000 kilometers.",the only are a lot of the same book,the only are you were a lot of the same,the only are a lot of the same book,everyone are the same was the same,the only are you were the door of the same,Aligned by index; same test set & seed=42 across PE types
5,short,findest du mich hübsch?,do you think i'm handsome?,you have me to me.,you have to me.,you don't have a lot,you have a lot of you.,you have to me.,Aligned by index; same test set & seed=42 across PE types
6,medium,ohne sie hätte tom das nicht geschafft.,tom couldn't have done it without you.,tom didn't want to do that.,you don't have to do that.,tom didn't know that you don't have to do that.,you don't think tom didn't know that tom didn't know that mary wouldn't do that.,tom didn't know that you don't want to do that.,Aligned by index; same test set & seed=42 across PE types
7,short,"sie flehte ihn an, zu bleiben.",she begged him to stay.,she is not to be able to be able to be able to be able to be able to,she is not to be able to be able to be able to be able to be able to,she is not to be able to be able to be able to be able to be here.,she is very good at the same,she is not to be able to be able to be able to be here.,Aligned by index; same test set & seed=42 across PE types
8,short,der nebel begann langsam sich zu heben.,the fog gradually began to clear.,the only are is too much of the same,the only are is too much to the same,the only are is too much of the same,the teacher is too much.,the only are you need to the same,Aligned by index; same test set & seed=42 across PE types
9,medium,ich werde tom nie wieder vertrauen.,i'm never going to trust tom again.,i never never never never never never never never never ever tom.,i never never never never never never ever tom.,i never never never never never ever tom.,i don't want tom to be able to be able to you.,i never never never never never never never never never never ever tom.,Aligned by index; same test set & seed=42 across PE types
10,short,ich habe dich erwartet.,i've been waiting for you.,i thought you have to do that.,i thought you told me.,i don't want you for you.,i have you to be able to you.,i thought you were you.,Aligned by index; same test set & seed=42 across PE types
